model,idk,gdl,srl_args,coarse_first,thresh,P,R,F
bert,True,False,"['V', 'ARG0']",False,0.985,0.009036144578313253,0.008479366873940079,0.008748906386701663
bert,True,False,"['V', 'ARG0']",False,0.99,0.009036144578313253,0.008342602892102336,0.008675534991324466
bert,True,False,"['V', 'ARG0']",False,0.995,0.009036144578313253,0.008210180623973728,0.008603383997705764
bert,True,False,"['V', 'ARG0']",True,0.985,0.009036144578313253,0.008081896551724138,0.008532423208191127
bert,True,False,"['V', 'ARG0']",True,0.99,0.009036144578313253,0.007957559681697613,0.008462623413258109
bert,True,False,"['V', 'ARG0']",True,0.995,0.009036144578313253,0.007836990595611285,0.00839395635142697
bert,True,False,"['V', 'ARG1']",False,0.985,0.009036144578313253,0.007720020586721565,0.008326394671107412
bert,True,False,"['V', 'ARG1']",False,0.99,0.009036144578313253,0.007606490872210953,0.00825991189427313
bert,True,False,"['V', 'ARG1']",False,0.995,0.009036144578313253,0.0074962518740629685,0.00819448238186288
bert,True,False,"['V', 'ARG1']",True,0.985,0.009036144578313253,0.007389162561576354,0.008130081300813009
bert,True,False,"['V', 'ARG1']",True,0.99,0.009036144578313253,0.007285089849441476,0.008066684592632429
bert,True,False,"['V', 'ARG1']",True,0.995,0.009036144578313253,0.007183908045977011,0.0080042689434365
bert,True,True,all,False,0.985,0.00845785170566676,0.007085498346717053,0.007711091119393393
bert,True,True,all,False,0.99,0.00794912559618442,0.006989748369058714,0.0074386312918423
bert,True,True,all,False,0.995,0.007498125468632842,0.006896551724137931,0.007184768291222608
bert,True,True,all,True,0.985,0.007332071901608325,0.007032667876588022,0.007179249652616952
bert,True,True,all,True,0.99,0.00718294051627385,0.007165248544558889,0.007174083622912229
bert,True,True,all,True,0.995,0.0070482699700982485,0.007294429708222812,0.0071692374538344554
bert,True,True,['V'],False,0.985,0.006722346710124261,0.007202095154954169,0.006953956379728164
bert,True,True,['V'],False,0.99,0.006425233644859813,0.007112068965517242,0.006751227495908347
bert,True,True,['V'],False,0.995,0.006153272422151781,0.0070242656449553,0.00655998409700825
bert,True,True,['V'],True,0.985,0.005903398926654741,0.006938603868797309,0.006379277015271603
bert,True,True,['V'],True,0.99,0.005673027333677153,0.006855006231823847,0.006208258865581789
bert,True,True,['V'],True,0.995,0.0054599602911978825,0.0067733990147783255,0.006046170758519604
bert,True,True,"['V', 'ARG0', 'ARG1']",False,0.985,0.0052623186094721735,0.006693711967545639,0.0058923310418712615
bert,True,True,"['V', 'ARG0', 'ARG1']",False,0.99,0.0050784856879039705,0.006615878107457899,0.005746125718265715
bert,True,True,"['V', 'ARG0', 'ARG1']",False,0.995,0.004907063197026022,0.006539833531510107,0.005607000254863648
bert,True,True,"['V', 'ARG0', 'ARG1']",True,0.985,0.004746835443037975,0.00646551724137931,0.005474452554744526
bert,True,True,"['V', 'ARG0', 'ARG1']",True,0.99,0.00459674049310489,0.006392870980240217,0.005348026902195933
bert,True,True,"['V', 'ARG0', 'ARG1']",True,0.995,0.004455846610856063,0.00632183908045977,0.005227308728021543
bert,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.985,0.00432333289663304,0.006252368321333838,0.005111920068158934
bert,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.99,0.004198473282442748,0.006184407796101949,0.005001515610791149
bert,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.995,0.004080623222455794,0.006117908787541713,0.004895779244863141
bert,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.985,0.004089487611258119,0.0062362435803374906,0.00493970652331832
bert,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.99,0.004097880810209577,0.006352087114337568,0.004981851825492848
bert,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.995,0.004105839416058394,0.00646551724137931,0.005022321428571428
bert,True,True,"['V', 'ARG0']",False,0.985,0.004002223457476375,0.006398862424457874,0.004924423774023664
bert,True,True,"['V', 'ARG0']",False,0.99,0.003903708523096942,0.0063335679099225895,0.004830269690057695
bert,True,True,"['V', 'ARG0']",False,0.995,0.003809926976399619,0.006269592476489028,0.004739648476071358
bert,True,True,"['V', 'ARG0']",True,0.985,0.003823894171145101,0.006379310344827587,0.004781597311966916
bert,True,True,"['V', 'ARG0']",True,0.99,0.003837221044128042,0.0064868555821099355,0.004822029059069856
bert,True,True,"['V', 'ARG0']",True,0.995,0.003751604304472307,0.006423258958755916,0.00473667809286382
bert,True,True,"['V', 'ARG1']",False,0.985,0.0036693704132869836,0.0063608972212922665,0.004654011022657686
bert,True,True,"['V', 'ARG1']",False,0.99,0.0,0.0,0.0
bert,True,True,"['V', 'ARG1']",False,0.995,0.0,0.0,0.0
bert,True,True,"['V', 'ARG1']",True,0.985,0.0014684287812041115,0.005747126436781609,0.002339181286549707
bert,True,True,"['V', 'ARG1']",True,0.99,0.0022026431718061676,0.008620689655172414,0.003508771929824562
bert,True,True,"['V', 'ARG1']",True,0.995,0.0026431718061674008,0.010344827586206896,0.004210526315789474
bert-l,False,False,all,False,0.985,0.01812688821752266,0.06896551724137931,0.02870813397129187
bert-l,False,False,all,False,0.99,0.029801324503311258,0.11083743842364532,0.04697286012526096
bert-l,False,False,all,False,0.995,0.03905325443786982,0.14224137931034483,0.06128133704735376
bert-l,False,False,all,True,0.985,0.041530054644808745,0.14559386973180077,0.06462585034013606
bert-l,False,False,all,True,0.99,0.04374364191251272,0.1482758620689655,0.06755695208169678
bert-l,False,False,all,True,0.995,0.04562920268972142,0.14890282131661442,0.06985294117647059
bert-l,False,False,['V'],False,0.985,0.05036908380373426,0.16666666666666666,0.07735911970656886
bert-l,False,False,['V'],False,0.99,0.0543004359889021,0.1816976127320955,0.08361306072627403
bert-l,False,False,['V'],False,0.995,0.05762217359591539,0.19458128078817735,0.08891389983117615
bert-l,False,False,['V'],True,0.985,0.05549845837615622,0.18620689655172415,0.0855106888361045
bert-l,False,False,['V'],True,0.99,0.053843658773921506,0.1788793103448276,0.08277237596609326
bert-l,False,False,['V'],True,0.995,0.052845528455284556,0.17139959432048682,0.08078393881453155
bert-l,False,False,"['V', 'ARG0', 'ARG1']",False,0.985,0.05382352941176471,0.1752873563218391,0.08235823582358236
