model,idk,gdl,srl_args,coarse_first,thresh,P,R,F
bert,True,False,"['V', 'ARG0']",False,0.985,0.21987951807228914,0.2063312605992086,0.21289005540974043
bert,True,False,"['V', 'ARG0']",False,0.99,0.21987951807228914,0.20300333704115683,0.2111046847888953
bert,True,False,"['V', 'ARG0']",False,0.995,0.21987951807228914,0.19978106185002736,0.20934901061084024
bert,True,False,"['V', 'ARG0']",True,0.985,0.21987951807228914,0.1966594827586207,0.20762229806598406
bert,True,False,"['V', 'ARG0']",True,0.99,0.21987951807228914,0.19363395225464192,0.20592383638928066
bert,True,False,"['V', 'ARG0']",True,0.995,0.21987951807228914,0.19070010449320793,0.20425293788472298
bert,True,False,"['V', 'ARG1']",False,0.985,0.21987951807228914,0.1878538342768914,0.202608936996947
bert,True,False,"['V', 'ARG1']",False,0.99,0.21987951807228914,0.18509127789046653,0.20099118942731278
bert,True,False,"['V', 'ARG1']",False,0.995,0.21987951807228914,0.18240879560219891,0.19939907129199674
bert,True,False,"['V', 'ARG1']",True,0.985,0.21987951807228914,0.17980295566502463,0.19783197831978316
bert,True,False,"['V', 'ARG1']",True,0.99,0.21987951807228914,0.17727051966974258,0.19628932508738908
bert,True,False,"['V', 'ARG1']",True,0.995,0.21987951807228914,0.17480842911877395,0.19477054429028814
bert,True,True,all,False,0.985,0.22131378629828025,0.18540387340576286,0.20177355095746047
bert,True,True,all,False,0.99,0.22257551669316375,0.195712954333644,0.2082816761715844
bert,True,True,all,False,0.995,0.22369407648087977,0.2057471264367816,0.21434558735480777
bert,True,True,all,True,0.985,0.22469252601702933,0.21551724137931033,0.22000926354793884
bert,True,True,all,True,0.99,0.2255892255892256,0.2250335871025526,0.22531106378208723
bert,True,True,all,True,0.995,0.22639897479709525,0.23430592396109637,0.23028459700195525
bert,True,True,['V'],False,0.985,0.2271338358117743,0.24334351811436053,0.23495943525445157
bert,True,True,['V'],False,0.99,0.22780373831775702,0.2521551724137931,0.2393617021276596
bert,True,True,['V'],False,0.995,0.22841693082230094,0.2607492550021286,0.2435145611768214
bert,True,True,['V'],True,0.985,0.22898032200357782,0.2691337258200168,0.2474386236226561
bert,True,True,['V'],True,0.99,0.2294997421351212,0.2773161611965102,0.2511522904712633
bert,True,True,['V'],True,0.995,0.2299801455989411,0.28530377668308704,0.25467204104067426
bert,True,True,"['V', 'ARG0', 'ARG1']",False,0.985,0.2304257694147664,0.29310344827586204,0.25801267743951434
bert,True,True,"['V', 'ARG0', 'ARG1']",False,0.99,0.23084025854108955,0.30072173215717724,0.2611875326484416
bert,True,True,"['V', 'ARG0', 'ARG1']",False,0.995,0.2312267657992565,0.30816488307570356,0.26420864837312036
bert,True,True,"['V', 'ARG0', 'ARG1']",True,0.985,0.23158803222094362,0.31543887147335425,0.2670869276708693
bert,True,True,"['V', 'ARG0', 'ARG1']",True,0.99,0.23192645215211033,0.3225493994575746,0.26983226642897656
bert,True,True,"['V', 'ARG0', 'ARG1']",True,0.995,0.23224412638401296,0.32950191570881227,0.2724536670362743
bert,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.985,0.2325429058037469,0.3363016294050777,0.27495933699945785
bert,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.99,0.23282442748091603,0.3429535232383808,0.27735677478023646
bert,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",False,0.995,0.23309014467664152,0.34946236559139787,0.2796528447444552
bert,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.985,0.23334135193649266,0.3558327219369039,0.28185384280110415
bert,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.99,0.23357920618194591,0.3620689655172414,0.2839655540530923
bert,True,True,"['V', 'ARG0', 'ARG1', 'ARG2']",True,0.995,0.23380474452554745,0.3681752873563218,0.28599330357142855
